Caso,Custo Inicial,Custo Final,Percentual,Tempo (s)
bbara,618.9393128245247,519.1103914012142,0.16129032258064524,59.517680321
bbsse,1188.0,1023.0,0.13888888888888884,72.756611883
bbtas,192.56842503028855,123.79398751947122,0.3571428571428571,46.17506249899998
beecount,331.5971657911106,276.3309714925922,0.16666666666666663,52.34350478500005
cse,1650.0,1518.0,0.07999999999999996,115.36911623500004
donfile,750.1955000865388,750.1955000865388,0.0,121.9641987199999
keyb,1552.1642571778607,1379.7015619358763,0.11111111111111105,256.271734048
lion,77.0,66.0,0.1428571428571429,43.897407585999986
lion9,217.64662506490404,188.62707505625016,0.13333333333333341,48.92281333300002
modulo12,192.56842503028855,178.8135375281251,0.0714285714285714,48.476096593999955
s1,3181.8863699042504,2902.1600956269535,0.08791208791208793,146.7130573479999
s1a,2692.3653899189812,2657.399605634319,0.012987012987013102,112.0349604160001
sand,4600.0,4600.0,0.0,272.27562308200004
shiftreg,48.0,48.0,0.0,42.74073520799993
sse,1155.0,990.0,0.1428571428571429,69.50937919500007
styr,4870.1565836981135,4442.949865829858,0.08771929824561397,380.053817622
tav,198.0,180.0,0.09090909090909094,45.450284173
train11,246.05271769459029,199.91783312685462,0.1875,48.318554092999875
